Date,"Jurgen Klopp"
2015-07-01,33
2015-07-02,26
2015-07-03,16
2015-07-04,10
2015-07-05,30
2015-07-06,29
2015-07-07,33
2015-07-08,24
2015-07-09,19
2015-07-10,22
2015-07-11,18
2015-07-12,30
2015-07-13,20
2015-07-14,19
2015-07-15,22
2015-07-16,16
2015-07-17,20
2015-07-18,17
2015-07-19,17
2015-07-20,21
2015-07-21,14
2015-07-22,23
2015-07-23,19
2015-07-24,19
2015-07-25,20
2015-07-26,20
2015-07-27,32
2015-07-28,31
2015-07-29,35
2015-07-30,37
2015-07-31,19
2015-08-01,22
2015-08-02,19
2015-08-03,23
2015-08-04,22
2015-08-05,28
2015-08-06,30
2015-08-07,40
2015-08-08,37
2015-08-09,29
2015-08-10,30
2015-08-11,40
2015-08-12,26
2015-08-13,32
2015-08-14,29
2015-08-15,62
2015-08-16,31
2015-08-17,25
2015-08-18,16
2015-08-19,14
2015-08-20,34
2015-08-21,30
2015-08-22,27
2015-08-23,33
2015-08-24,23
2015-08-25,17
2015-08-26,22
2015-08-27,19
2015-08-28,20
2015-08-29,33
2015-08-30,43
2015-08-31,45
2015-09-01,37
2015-09-02,25
2015-09-03,25
2015-09-04,26
2015-09-05,16
2015-09-06,33
2015-09-07,56
2015-09-08,37
2015-09-09,19
2015-09-10,17
2015-09-11,14
2015-09-12,37
2015-09-13,59
2015-09-14,68
2015-09-15,50
2015-09-16,39
2015-09-17,35
2015-09-18,28
2015-09-19,17
2015-09-20,53
2015-09-21,61
2015-09-22,51
2015-09-23,97
2015-09-24,148
2015-09-25,111
2015-09-26,43
2015-09-27,40
2015-09-28,39
2015-09-29,28
2015-09-30,71
2015-10-01,71
2015-10-02,45
2015-10-03,39
2015-10-04,638
2015-10-05,1877
2015-10-06,1623
2015-10-07,1416
2015-10-08,2020
2015-10-09,2239
2015-10-10,800
2015-10-11,510
2015-10-12,422
2015-10-13,259
2015-10-14,197
2015-10-15,237
2015-10-16,202
2015-10-17,420
2015-10-18,213
2015-10-19,166
2015-10-20,132
2015-10-21,127
2015-10-22,168
2015-10-23,112
2015-10-24,62
2015-10-25,235
2015-10-26,88
2015-10-27,74
2015-10-28,124
2015-10-29,115
2015-10-30,146
2015-10-31,306
2015-11-01,188
2015-11-02,171
2015-11-03,117
2015-11-04,142
2015-11-05,137
2015-11-06,121
2015-11-07,83
2015-11-08,103
2015-11-09,95
2015-11-10,52
2015-11-11,46
2015-11-12,47
2015-11-13,39
2015-11-14,22
2015-11-15,29
2015-11-16,31
2015-11-17,34
2015-11-18,37
2015-11-19,32
2015-11-20,41
2015-11-21,151
2015-11-22,188
2015-11-23,213
2015-11-24,111
2015-11-25,129
2015-11-26,127
2015-11-27,104
2015-11-28,119
2015-11-29,134
2015-11-30,119
2015-12-01,93
2015-12-02,196
2015-12-03,247
2015-12-04,141
2015-12-05,126
2015-12-06,164
2015-12-07,85
2015-12-08,57
2015-12-09,50
2015-12-10,54
2015-12-11,42
2015-12-12,41
2015-12-13,99
2015-12-14,98
2015-12-15,58
2015-12-16,61
2015-12-17,59
2015-12-18,68
2015-12-19,63
2015-12-20,124
2015-12-21,74
2015-12-22,61
2015-12-23,76
2015-12-24,67
2015-12-25,71
2015-12-26,104
2015-12-27,59
2015-12-28,66
2015-12-29,56
2015-12-30,108
2015-12-31,102
2016-01-01,71
2016-01-02,110
2016-01-03,58
2016-01-04,70
2016-01-05,97
2016-01-06,83
2016-01-07,65
2016-01-08,135
2016-01-09,82
2016-01-10,50
2016-01-11,63
2016-01-12,47
2016-01-13,129
2016-01-14,85
2016-01-15,103
2016-01-16,73
2016-01-17,126
2016-01-18,67
2016-01-19,54
2016-01-20,54
2016-01-21,60
2016-01-22,32
2016-01-23,124
2016-01-24,79
2016-01-25,50
2016-01-26,86
2016-01-27,99
2016-01-28,63
2016-01-29,43
2016-01-30,72
2016-01-31,39
2016-02-01,54
2016-02-02,63
2016-02-03,60
2016-02-04,41
2016-02-05,30
2016-02-06,48
2016-02-07,53
2016-02-08,49
2016-02-09,78
2016-02-10,75
2016-02-11,41
2016-02-12,34
2016-02-13,34
2016-02-14,65
2016-02-15,54
2016-02-16,53
2016-02-17,52
2016-02-18,96
2016-02-19,65
2016-02-20,34
2016-02-21,43
2016-02-22,33
2016-02-23,29
2016-02-24,25
2016-02-25,35
2016-02-26,63
2016-02-27,47
2016-02-28,131
2016-02-29,53
2016-03-01,52
2016-03-02,62
2016-03-03,150
2016-03-04,57
2016-03-05,48
2016-03-06,83
2016-03-07,60
2016-03-08,35
2016-03-09,60
2016-03-10,130
2016-03-11,90
2016-03-12,41
2016-03-13,40
2016-03-14,35
2016-03-15,49
2016-03-16,53
2016-03-17,127
2016-03-18,235
2016-03-19,110
2016-03-20,114
2016-03-21,78
2016-03-22,51
2016-03-23,65
2016-03-24,52
2016-03-25,51
2016-03-26,61
2016-03-27,46
2016-03-28,61
2016-03-29,60
2016-03-30,61
2016-03-31,56
2016-04-01,42
2016-04-02,107
2016-04-03,66
2016-04-04,78
2016-04-05,72
2016-04-06,109
2016-04-07,417
2016-04-08,165
2016-04-09,72
2016-04-10,136
2016-04-11,98
2016-04-12,67
2016-04-13,70
2016-04-14,418
2016-04-15,512
2016-04-16,187
2016-04-17,234
2016-04-18,163
2016-04-19,147
2016-04-20,192
2016-04-21,217
2016-04-22,134
2016-04-23,140
2016-04-24,108
2016-04-25,89
2016-04-26,69
2016-04-27,91
2016-04-28,196
2016-04-29,87
2016-04-30,71
2016-05-01,108
2016-05-02,69
2016-05-03,78
2016-05-04,88
2016-05-05,360
2016-05-06,385
2016-05-07,148
2016-05-08,179
2016-05-09,147
2016-05-10,133
2016-05-11,222
2016-05-12,132
2016-05-13,127
2016-05-14,103
2016-05-15,100
2016-05-16,133
2016-05-17,201
2016-05-18,577
2016-05-19,311
2016-05-20,139
2016-05-21,125
2016-05-22,117
2016-05-23,139
2016-05-24,146
2016-05-25,107
2016-05-26,104
2016-05-27,114
2016-05-28,88
2016-05-29,69
2016-05-30,49
2016-05-31,47
2016-06-01,65
2016-06-02,114
2016-06-03,77
2016-06-04,56
2016-06-05,49
2016-06-06,50
2016-06-07,69
2016-06-08,60
2016-06-09,44
2016-06-10,53
2016-06-11,44
2016-06-12,81
2016-06-13,64
2016-06-14,75
2016-06-15,46
2016-06-16,115
2016-06-17,59
2016-06-18,42
2016-06-19,46
2016-06-20,61
2016-06-21,51
2016-06-22,48
2016-06-23,46
2016-06-24,35
2016-06-25,30
2016-06-26,60
2016-06-27,72
2016-06-28,60
2016-06-29,60
2016-06-30,51
2016-07-01,67
2016-07-02,83
2016-07-03,71
2016-07-04,64
2016-07-05,85
2016-07-06,86
2016-07-07,89
2016-07-08,213
2016-07-09,93
2016-07-10,65
2016-07-11,49
2016-07-12,50
2016-07-13,52
2016-07-14,49
2016-07-15,39
2016-07-16,41
2016-07-17,58
2016-07-18,47
2016-07-19,64
2016-07-20,86
2016-07-21,94
2016-07-22,93
2016-07-23,71
2016-07-24,54
2016-07-25,71
2016-07-26,61
2016-07-27,49
2016-07-28,78
2016-07-29,57
2016-07-30,59
2016-07-31,50
2016-08-01,61
2016-08-02,50
2016-08-03,42
2016-08-04,53
2016-08-05,53
2016-08-06,79
2016-08-07,117
2016-08-08,79
2016-08-09,74
2016-08-10,64
2016-08-11,81
2016-08-12,67
2016-08-13,60
2016-08-14,205
